player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Zylan Cheatham,cheatzy01,2020,65,31,-10.1614594,-7.967020187,-18.12847959,-19.73527018,-8.194703602,-27.92997378,-12.81718556,-8.474267318,-21.29145288,-0.290231221,-0.290231221,0,-12.69941521,-8.392041341,-21.09145655,-1.052136421
Chris Chiozza,chiozch01,2020,337,153,-1.908614004,0.647679188,-1.260934816,-2.319404529,14.84617608,12.52677155,-2.114777406,3.716047097,1.601269691,0.343937393,0.343937393,0,-1.092764938,1.709458761,0.616693823,0.12375445
Marquese Chriss,chrisma01,2020,2323,1082,-2.483001379,1.836475029,-0.64652635,-1.063548533,-2.345229856,-3.408778389,-2.251640286,1.15201159,-1.099628696,0.913966531,0.913966531,0,-2.830081928,1.025248362,-1.804833566,0.324933031
Brandon Clarke,clarkbr01,2020,2398,1086,0.46816521,0.232474417,0.700639626,0.57731569,2.7024516,3.27976729,0.536806116,0.773667677,1.310473793,2.2524348,2.2524348,0,-0.365975744,0.15690446,-0.209071284,0.118763944
Gary Clark,clarkga01,2020,825,378,-0.831286412,-2.343732549,-3.175018962,-1.334163247,-0.894872026,-2.229035273,-1.030509781,-2.21792094,-3.24843072,-0.093238554,-0.093238554,0,-1.113303959,-3.330620726,-4.443924685,-0.365469471
Jordan Clarkson,clarkjo01,2020,2933,1406,3.854618844,-1.737195185,2.117423659,0.945202729,-1.601458247,-0.656255519,3.471269944,-1.810049224,1.66122072,3.150146614,3.150146614,0,2.997770442,-2.195855867,0.801914575,-0.442982963
Nicolas Claxton,claxtni01,2020,410,187,-1.315403261,1.850816869,0.535413608,-7.607065303,-3.014972218,-10.62203752,-2.68034555,0.943991434,-1.736354116,0.096271288,0.096271288,0,-2.555902927,-1.524076865,-4.079979793,-0.46212193
Chris Clemons,clemoch01,2020,543,246,-0.48301203,-1.473431677,-1.956443707,-6.411685283,-3.23107438,-9.642759663,-1.798265377,-1.940811893,-3.73907727,-0.125681783,-0.125681783,0,-0.569148877,-2.887645422,-3.456794299,1.26857971
Antonius Cleveland,clevean01,2020,46,22,-8.466802295,-3.170866537,-11.63766883,-6.887308167,-10.86249112,-17.74979929,-8.735972805,-5.013120715,-13.74909352,-0.123862395,-0.123862395,0,-5.531378796,-6.715770238,-12.24714903,0.334014081
Amir Coffey,coffeam01,2020,173,80,-1.832308916,-0.461326995,-2.293635911,4.473506198,0.789064565,5.262570762,-0.6771968,-0.284384303,-0.961581103,0.072390435,0.072390435,0,-2.389200746,-1.929325179,-4.318525925,-0.84656072
John Collins,collijo01,2020,2566,1177,0.618309566,-1.255212059,-0.636902494,-1.40223685,0.773579166,-0.628657684,0.295011639,-0.849743458,-0.554731819,1.320709339,1.320709339,0,1.196388113,-0.627009556,0.569378558,0.188763431
Zach Collins,colliza01,2020,186,86,-2.12812427,5.929036739,3.800912469,2.607196484,6.187332611,8.794529094,-1.277833714,6.422363668,5.144529953,0.350723639,0.350723639,0,-1.930500004,3.682647874,1.75214787,1.276502256
Mike Conley,conlemi01,2020,2135,1015,0.48869612,-1.473821483,-0.985125363,-3.354478991,0.119708642,-3.234770348,-0.330607859,-1.247041592,-1.577649452,0.606275205,0.606275205,0,0.24518047,-0.704405585,-0.459225115,-0.139494749
Pat Connaughton,connapa01,2020,2261,1017,-1.085571674,0.947905011,-0.137666662,-1.21312407,-2.158262468,-3.371386537,-1.208046702,0.215790436,-0.992256266,0.907008423,0.907008423,0,-1.545991275,-0.29265264,-1.838643915,-0.56359356
Quinn Cook,cookqu01,2020,872,407,-0.861748242,-1.858090705,-2.719838947,-0.207516397,2.739722528,2.532206131,-0.842552434,-1.087287272,-1.929839706,0.169796549,0.169796549,0,-1.4315432,-2.276516865,-3.708060065,-0.306062367
Tyler Cook,cookty01,2020,77,35,-0.044512615,-6.432027451,-6.476540067,-5.806423911,-3.103406605,-8.909830516,-1.16443018,-5.99657854,-7.161008719,-0.078340843,-0.078340843,0,-0.984445745,-8.429895227,-9.414340973,-0.5525018
Robert Covington,covinro01,2020,3660,1700,-0.321277297,2.018575517,1.697298219,3.080185644,0.357749611,3.437935255,0.381130851,1.806838446,2.187969297,4.307418397,4.307418397,0,1.285665281,2.765858027,4.051523309,0.42236911
Allen Crabbe,crabbal01,2020,1445,653,-2.150178671,-3.891016352,-6.041195024,-5.906808862,-1.331201344,-7.238010206,-3.069021973,-3.537591059,-6.606613032,-1.258913614,-1.258913614,0,-2.477266227,-4.173532793,-6.65079902,-0.617490098
Torrey Craig,craigto01,2020,1687,821,-0.410174611,0.011803546,-0.398371065,-1.997943054,-3.423614529,-5.421557583,-0.773548583,-0.727144367,-1.500692949,0.519923556,0.519923556,0,-0.957492592,-0.53546646,-1.492959052,-0.65879157
Jae Crowder,crowdja01,2020,3447,1592,-0.162405681,-0.53783893,-0.700244611,-1.028453761,-2.730593929,-3.75904769,-0.342636115,-1.021745095,-1.36438121,1.135717282,1.135717282,0,-0.349177851,-0.488381723,-0.837559574,0.486812325
Jarrett Culver,culveja01,2020,3072,1400,-3.449835812,-1.203108706,-4.652944518,0.464991159,-0.755007975,-0.290016817,-2.811356037,-1.167540648,-3.978896684,-0.878739528,-0.878739528,0,-2.644253873,-0.804318826,-3.4485727,0.111958116
Seth Curry,curryse01,2020,2941,1395,3.138186085,-2.412413356,0.725772729,-0.483958053,-0.657374112,-1.141332165,2.499758758,-2.20456632,0.295192438,2.154916806,2.154916806,0,2.319801524,-2.225555113,0.094246411,-0.585377498
Stephen Curry,curryst01,2020,256,112,4.600425759,2.754348321,7.35477408,0.701760064,-5.645724709,-4.943964645,4.275619117,1.19104463,5.466663747,0.482178499,0.482178499,0,2.890964932,0.356982201,3.247947133,2.750762355
Troy Daniels,danietr01,2020,977,456,-0.285576862,-2.553045221,-2.838622083,-4.173478103,1.24420842,-2.929269683,-1.15627585,-1.973987161,-3.130263011,-0.088302308,-0.088302308,0,-1.244104808,-2.790855935,-4.034960743,-0.191832909
Anthony Davis,davisan02,2020,3748,1751,3.083635121,4.194896831,7.278531952,-3.685935767,1.009291795,-2.676643973,1.781208626,3.715498091,5.496706716,7.4751062,7.4751062,0,2.308786765,3.972943945,6.28173071,1.49327527
Ed Davis,davised01,2020,559,268,-4.44562503,0.730805113,-3.714819917,-9.617491035,-0.420245047,-10.03773608,-5.753376491,0.477055636,-5.276320855,-0.343856196,-0.343856196,0,-5.424349924,0.963386711,-4.460963213,-0.465714617
Terence Davis,daviste02,2020,2224,1052,2.141204521,0.278652398,2.419856919,4.934687383,2.287807614,7.222494997,2.826210249,0.656583416,3.482793665,3.338287677,3.338287677,0,2.601056297,0.332515613,2.933571909,-0.214777063
Dewayne Dedmon,dedmode01,2020,1413,678,-6.05829553,3.010196554,-3.048098976,-0.80232173,0.740766663,-0.061555067,-5.3182245,2.736671285,-2.581553215,0.056756158,0.056756158,0,-4.36930302,2.178497081,-2.190805939,0.198045387
Matthew Dellavedova,dellama01,2020,1367,646,-1.86290582,1.585778236,-0.277127584,-3.132424749,8.423475548,5.291050799,-2.1925656,3.180066822,0.987501222,1.235252694,1.235252694,0,-2.090304018,1.03812191,-1.052182108,0.282656658
DeMar DeRozan,derozde01,2020,3997,1909,2.754651424,-2.193233581,0.561417843,1.510990587,-1.33984114,0.171149447,2.620138662,-2.14941876,0.470719902,3.108266269,3.108266269,0,1.385816794,-1.817090915,-0.431274121,-0.931007833
Cheick Diallo,diallch01,2020,905,425,-0.698128266,0.790216347,0.092088081,-3.625780227,-0.922040395,-4.547820622,-1.34745867,0.502509374,-0.844949296,0.413177072,0.413177072,0,-1.274684626,0.058741649,-1.215942976,0.023563851
Hamidou Diallo,diallha01,2020,1399,652,-4.87045064,1.321238813,-3.549211827,-3.640331796,3.372117065,-0.268214731,-4.925754817,1.79726829,-3.128486527,-0.125713791,-0.125713791,0,-5.132206131,1.540275015,-3.591931115,-0.153891726
Gorgui Dieng,dienggo01,2020,1960,916,-1.806089481,5.248525529,3.442436048,-7.213793965,4.641389567,-2.572404398,-3.014877427,5.466313376,2.451435949,2.431414942,2.431414942,0,-2.595677378,4.975497166,2.379819787,-0.078750843
Spencer Dinwiddie,dinwisp01,2020,3925,1850,3.412384873,-2.504428295,0.907956578,3.812084409,-1.169298006,2.642786404,3.755144547,-2.39078581,1.364358737,3.864481135,3.864481135,0,3.522027821,-2.297306082,1.224721739,-0.497571565
Donte DiVincenzo,divindo01,2020,2795,1258,0.720847644,3.047687677,3.768535322,2.422941879,3.214186774,5.637128653,1.078600268,3.162487306,4.241087575,4.504321514,4.504321514,0,1.099070391,3.298845665,4.397916056,0.391564346
Luka Doncic,doncilu01,2020,3317,1577,8.968636795,-0.582581953,8.386054842,3.69744043,-2.377443063,1.319997367,8.199697669,-0.999231233,7.200466436,8.132155679,8.132155679,0,8.650440758,-1.463326646,7.187114112,1.607726292
Luguentz Dort,dortlu01,2020,1105,535,-2.628977914,4.315759805,1.686781892,0.169138223,-0.437498392,-0.268360169,-2.219689546,3.580910962,1.361221416,1.120131102,1.120131102,0,-2.921599651,4.405780856,1.484181206,-0.186890151
Damyean Dotson,dotsoda01,2020,1741,823,0.163784829,-1.814914695,-1.651129865,-1.989643049,1.57673876,-0.412904289,-0.219159362,-1.184077215,-1.403236577,0.562234428,0.562234428,0,-0.983725182,-2.127470704,-3.111195886,-0.588944375
Sekou Doumbouya,doumbse01,2020,1408,683,-5.589358406,-3.399790574,-8.98914898,-2.559168882,-2.834424818,-5.3935937,-5.277902732,-3.451283443,-8.729186175,-2.063692103,-2.063692103,0,-5.388519144,-2.894314595,-8.282833739,-0.972250788
PJ Dozier,doziepj01,2020,502,232,-1.897425812,0.137229902,-1.76019591,-0.618705895,-0.440078766,-1.058784661,-1.772262836,0.023499811,-1.748763025,0.118194868,0.118194868,0,-1.671221123,-0.272976314,-1.944197436,-0.273723347
Goran Dragic,dragigo01,2020,2927,1395,2.420849546,-2.540760679,-0.119911133,-0.224960441,-1.707994238,-1.932954679,1.96889059,-2.516019014,-0.547128424,1.573282109,1.573282109,0,1.916389105,-3.398030245,-1.48164114,0.353654129
